date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-02,1,0.0027397260273972603,55,0.30007737643615773,0.9989999999679066,4.9999999999481535,0.13857607196164917
2023-02-02,4,0.010958904109589041,34,0.1657872961469909,0.6400830951509324,4.999999999999999,0.03015848801895168
2023-02-02,5,0.0136986301369863,40,0.159942241398099,0.3400026804335199,4.999999999999999,0.02467964003356559
2023-02-02,6,0.01643835616438356,44,0.16329465896274004,0.2950585325719949,3.938770116115913,0.016547689073386742
2023-02-02,7,0.019178082191780823,50,0.16149896509553696,0.22124959489945156,4.103520360958908,0.018925736973899758
2023-02-02,8,0.021917808219178082,69,0.14968743255432126,0.08341590366154467,4.69542068148162,0.020217417921166988
2023-02-02,11,0.030136986301369864,56,0.14665860666832714,0.20581407636738083,3.0264982304882886,0.012966810256800264
2023-02-02,12,0.03287671232876712,63,0.1681703128179236,0.20820890801786623,2.7560584932565684,0.016811569533602005
2023-02-02,13,0.03561643835616438,64,0.17134474988347984,0.23487701220479587,1.9162172215508757,0.013804624545235587
2023-02-02,14,0.038356164383561646,71,0.17311487606373804,0.08635975450346586,2.240508469972778,0.013086404616329827
2023-02-02,15,0.0410958904109589,352,0.13274152240250542,-0.14242526201180913,4.3694905080994975,0.031796415003979665
2023-02-02,19,0.052054794520547946,66,0.15624164009264976,0.047979046147906386,1.9877431291240562,0.01141361448698326
2023-02-02,20,0.0547945205479452,77,0.15723800415256975,-0.06553584544149432,1.696017152971043,0.009226783496576683
2023-02-02,21,0.057534246575342465,63,0.15207831894058355,-0.19331795902175186,2.4367339618444666,0.006306958957520831
2023-02-02,22,0.06027397260273973,113,0.15516679241930126,-0.11196104426308692,2.0876366280227554,0.01182155599123331
2023-02-02,25,0.0684931506849315,86,0.15204758585636238,-0.09672087804329442,1.7387587954804582,0.010656922847812632
2023-02-02,26,0.07123287671232877,157,0.14401324467227292,-0.20828272172091528,1.8704321453503534,0.011464692085281244
2023-02-02,27,0.07397260273972603,44,0.150232223636817,-0.24778109534515788,1.7962536470882475,0.008036288426170428
2023-02-02,28,0.07671232876712329,48,0.152526398517726,-0.2448704224241848,1.8936175309171146,0.008598155566097674
2023-02-02,29,0.07945205479452055,117,0.15275757971187204,-0.28872110495315795,1.7887099015171506,0.009518818907368458
2023-02-02,32,0.08767123287671233,88,0.14751655966009197,-0.2691627010068986,1.878907991751855,0.006782076258135729
2023-02-02,36,0.09863013698630137,82,0.15491031491102428,-0.3691183613058391,1.7543564398287526,0.009449224247694003
2023-02-02,43,0.1178082191780822,502,0.14708815967054883,-0.2590017206431916,2.1350987247338686,0.018817921255732457
2023-02-02,50,0.136986301369863,65,0.16862672143764046,-0.47992230624391585,1.4471834320929082,0.009078929627570833
2023-02-02,57,0.15616438356164383,285,0.1617135334985087,-0.42216124939141364,1.5497679466630523,0.01438888159844206
2023-02-02,78,0.2136986301369863,490,0.1604458470590042,-0.5043678410161655,1.56919440290832,0.009930675193557845
2023-02-02,85,0.2328767123287671,272,0.1617380041535178,-0.6307900596215348,1.4962959128139661,0.004801140594112682
2023-02-02,106,0.29041095890410956,459,0.16444084631457428,-0.5517851193733869,1.3150902995694782,0.011632612334470235
2023-02-02,118,0.3232876712328767,139,0.1640073747251239,-0.6720401111367095,1.205345465495744,0.005812859369345499
2023-02-02,134,0.36712328767123287,438,0.16651558233196873,-0.610861190202325,1.192260645704275,0.00882048826684983
2023-02-02,148,0.4054794520547945,292,0.16799080959759569,-0.7065374096150241,1.1420917882658126,0.006632406776763991
2023-02-02,169,0.46301369863013697,186,0.16867897518241776,-0.6834396552444278,1.1300323975591446,0.006581915683124759
2023-02-02,179,0.4904109589041096,123,0.17270894128229666,-0.7562955012648391,0.9801414097130227,0.00801860515182776
2023-02-02,197,0.5397260273972603,117,0.17018528601697064,-0.6904476015975739,0.9904758359446325,0.011134105749030117
2023-02-03,3,0.00821917808219178,51,0.1246671077201662,0.8288005543173539,4.999999999999999,0.05952172095835113
2023-02-03,4,0.010958904109589041,70,0.1472206946800242,0.3074250818217326,4.999999999999997,0.033665361093323846
2023-02-03,5,0.0136986301369863,81,0.14595446807164833,0.07232459920555195,4.999999999999999,0.017314684821640995
2023-02-03,6,0.01643835616438356,101,0.15452956896134223,-0.1640564030437702,4.999999999999999,0.01982291290674567
2023-02-03,7,0.019178082191780823,103,0.14733509290462551,-0.016662698530147433,4.999999999999999,0.021052334477727183
2023-02-03,10,0.0273972602739726,86,0.13695493606384726,0.08534488517695617,3.477499631472944,0.015360836281531395
2023-02-03,11,0.030136986301369864,90,0.16450622065716616,0.04388673945042111,3.24198978991414,0.015435988643127292
2023-02-03,12,0.03287671232876712,94,0.16849054016609602,-0.033602387246456325,2.297980416801427,0.012864019837536012
2023-02-03,13,0.03561643835616438,105,0.16833641390044465,-0.201124974723661,3.0688819925235156,0.007689629738558994
2023-02-03,14,0.038356164383561646,411,0.13317325030524327,-0.17661175846623184,4.5962237067269704,0.03505037114503437
2023-02-03,18,0.049315068493150684,85,0.15646682549715696,-0.2188862585120698,2.4806306075580165,0.008724182445289917
2023-02-03,19,0.052054794520547946,96,0.15673137312589935,-0.30498460378964215,2.4132563279600032,0.0053517632160326985
2023-02-03,20,0.0547945205479452,82,0.15709807967238035,-0.34551144317338106,2.7191144262949365,0.004710488977154586
2023-02-03,21,0.057534246575342465,144,0.15754076009286597,-0.31541785056616894,2.5289651245570663,0.006881166139880212
2023-02-03,24,0.06575342465753424,99,0.15175142960364202,-0.34690896697838386,2.381966179547409,0.004944830245167792
2023-02-03,25,0.0684931506849315,184,0.1498468360455419,-0.36652067713525455,2.1777716554377995,0.007510422960669145
2023-02-03,26,0.07123287671232877,81,0.1536064643725528,-0.4062812260998214,2.207139051032067,0.0037442444170135863
2023-02-03,27,0.07397260273972603,52,0.15448454733622655,-0.3902926296267658,2.3384971896830797,0.005212384787269665
2023-02-03,28,0.07671232876712329,141,0.15580260452267472,-0.42178226998661644,2.201169186632682,0.004352006153985542
